,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
40,2009-10,2009,41,11527,32585,10271.0,,,1013,58196,853912,2134,0.0681522,0.0709467,2009-10-15,10014.879883,10062.94043,9977.469727,10062.94043,10062.94043,252480000
41,2009-10,2009,42,13187,39364,12399.0,,,1070,69068,906536,2162,0.07618889999999999,0.077151,2009-10-22,9946.179688,10105.19043,9916.780273,10081.30957,10081.30957,231900000
42,2009-10,2009,43,13174,36860,12166.0,,,1128,66411,898860,2167,0.07388360000000001,0.0755134,2009-10-29,9762.910156,9969.910156,9759.129883,9962.580078,9962.580078,248950000
43,2009-10,2009,44,12161,30860,10250.0,,,1074,57017,899425,2197,0.0633927,0.0667118,2009-11-05,9807.799805,10013.070313,9807.799805,10005.959961,10005.959961,211040000
44,2009-10,2009,45,10151,21112,8174.0,,,978,42729,864348,2191,0.0494349,0.05206330000000001,2009-11-12,10289.820313,10321.639648,10171.240234,10197.469727,10197.469727,183810000
45,2009-10,2009,46,8979,14652,6163.0,,,883,32520,853552,2157,0.0380996,0.040447699999999996,2009-11-19,10425.330078,10425.330078,10256.110352,10332.44043,10332.44043,196250000
46,2009-10,2009,48,7195,7988,4259.0,,,818,21730,814550,2122,0.026677299999999998,0.026902299999999997,2009-12-03,10455.629883,10507.629883,10350.049805,10366.150391,10366.150391,243970000
47,2009-10,2009,49,6490,7218,3588.0,,,715,19325,781811,2093,0.0247183,0.024711900000000002,2009-12-10,10336.0,10444.599609,10335.769531,10405.830078,10405.830078,195910000
48,2009-10,2009,50,6275,5785,3249.0,,,659,17081,728401,2014,0.02345,0.0244773,2009-12-17,10439.990234,10440.05957,10307.959961,10308.259766,10308.259766,198860000
49,2009-10,2009,51,6078,4127,2677.0,,,644,14575,536961,1934,0.0271435,0.0264594,2009-12-24,10467.120117,10522.05957,10461.679688,10520.089844,10520.089844,52670000
50,2009-10,2009,52,6598,3726,3202.0,,,803,15613,583299,1937,0.026766700000000004,0.0261567,2009-12-31,10548.509766,10555.009766,10423.129883,10428.049805,10428.049805,137940000
51,2009-10,2010,1,4998,3961,3333.0,,,763,14299,721138,1996,0.019828400000000003,0.019071200000000003,2010-01-08,10606.400391,10619.400391,10554.330078,10618.19043,10618.19043,172710000
52,2009-10,2010,2,4877,4614,2793.0,,,622,14088,770895,2016,0.018274900000000004,0.0186738,2010-01-15,10706.990234,10709.94043,10561.05957,10609.650391,10609.650391,362930000
53,2009-10,2010,3,5399,5079,2693.0,,,578,14757,766177,2053,0.0192606,0.0188072,2010-01-22,10389.580078,10389.580078,10157.639648,10172.980469,10172.980469,323620000
54,2009-10,2010,4,5333,5655,2560.0,,,528,15122,785580,2026,0.0192495,0.019690799999999998,2010-01-29,10122.040039,10239.339844,10043.75,10067.330078,10067.330078,316900000
55,2009-10,2010,5,5816,6142,2581.0,,,550,16037,767773,1996,0.020887700000000002,0.0211387,2010-02-05,10003.69043,10031.959961,9835.089844,10012.230469,10012.230469,308320000
56,2009-10,2010,6,5496,5577,2644.0,,,658,15381,756068,1977,0.0203434,0.0209695,2010-02-12,10137.230469,10137.389648,9983.820313,10099.139648,10099.139648,296510000
57,2009-10,2010,7,5388,5536,2649.0,,,498,15065,762208,1954,0.0197649,0.019029400000000002,2010-02-19,10387.769531,10438.549805,10339.169922,10402.349609,10402.349609,241750000
58,2009-10,2010,8,5040,6207,2943.0,,,679,16087,806925,1990,0.0199362,0.0196951,2010-02-26,10321.410156,10353.450195,10272.290039,10325.259766,10325.259766,282120000
59,2009-10,2010,9,4281,5685,2763.0,,,672,14486,781411,1953,0.018538299999999997,0.0192331,2010-03-05,10445.129883,10571.94043,10445.049805,10566.200195,10566.200195,184270000
