,Date,value,Open,High,Low,Close,Adj Close,Volume
114,2015-06-03,4.0,18018.419922,18168.089844,18010.419922,18076.269531,18076.269531,73120000
115,2015-06-04,4.0,18072.470703,18087.150391,17876.949219,17905.580078,17905.580078,93470000
116,2015-06-05,4.0,17905.380859,17940.779297,17822.900391,17849.460938,17849.460938,89140000
117,2015-06-08,4.0,17849.460938,17852.349609,17760.609375,17766.550781,17766.550781,86300000
118,2015-06-09,4.0,17766.949219,17817.830078,17714.970703,17764.039063,17764.039063,90550000
119,2015-06-10,4.0,17765.380859,18045.140625,17765.380859,18000.400391,18000.400391,96980000
120,2015-06-11,4.0,18001.269531,18109.769531,18001.269531,18039.369141,18039.369141,89490000
121,2015-06-12,4.0,18035.830078,18035.830078,17857.070313,17898.839844,17898.839844,83760000
122,2015-06-15,4.0,17890.759766,17890.759766,17698.419922,17791.169922,17791.169922,91920000
123,2015-06-16,4.0,17787.429688,17919.619141,17774.119141,17904.480469,17904.480469,77510000
124,2015-06-17,4.0,17909.580078,17998.0,17839.650391,17935.740234,17935.740234,92410000
125,2015-06-18,4.0,17944.609375,18174.730469,17944.609375,18115.839844,18115.839844,94460000
126,2015-06-19,4.0,18116.240234,18117.710938,18010.580078,18015.949219,18015.949219,258300000
127,2015-06-22,4.0,18027.630859,18181.669922,18027.630859,18119.779297,18119.779297,77780000
128,2015-06-23,4.0,18121.779297,18188.810547,18108.099609,18144.070313,18144.070313,75970000
129,2015-06-24,4.0,18139.099609,18139.099609,17966.070313,17966.070313,17966.070313,104980000
130,2015-06-25,4.0,17977.109375,18036.099609,17890.359375,17890.359375,17890.359375,78990000
131,2015-06-26,4.0,17892.029297,18013.150391,17892.029297,17946.679688,17946.679688,158120000
132,2015-06-29,4.0,17936.740234,17936.740234,17590.550781,17596.349609,17596.349609,116340000
133,2015-06-30,4.0,17599.960938,17714.660156,17576.5,17619.509766,17619.509766,126460000
134,2015-07-01,4.0,17638.119141,17801.830078,17638.119141,17757.910156,17757.910156,87010000
